"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 12 07:24:52 IST 2024","Fri Jan 12 07:24:55 IST 2024","3232","testCases","test_UserProfile","Test_User_Profile","","","test_UserLogin_002",""
"passed","Fri Jan 12 07:24:43 IST 2024","Fri Jan 12 07:24:46 IST 2024","3168","testCases","test_UserProfile","Test_User_Profile","","","test_UserRegistration_001",""
